n,time,ln(n)
98100000,916,1554.77498
98200000,1500,1554.921969
98300000,959,1555.068808
98400000,2000,1555.215498
98500000,1292,1555.362039
98600000,1333,1555.508431
98700000,1792,1555.654675
98800000,1709,1555.800771
98900000,1625,1555.946719
99000000,1167,1556.092519
99100000,1000,1556.238172
99200000,750,1556.383678
99300000,1750,1556.529038
99400000,1500,1556.674252
99500000,1458,1556.819319
99600000,1583,1556.964241
99700000,959,1557.109017
99800000,1625,1557.253648
99900000,1125,1557.398134
